strategy,attack,round,n_seeds,mean_acc,std_acc
MultiKrum,ipm,15,5,0.935660,0.008343
MultiKrum,ipm,16,5,0.937560,0.005518
MultiKrum,label_flip,1,5,0.667560,0.080991
MultiKrum,label_flip,2,5,0.849420,0.050875
MultiKrum,label_flip,3,5,0.883080,0.026871
MultiKrum,label_flip,4,5,0.892380,0.010881
MultiKrum,label_flip,5,5,0.902180,0.008192
MultiKrum,label_flip,6,5,0.910740,0.007533
MultiKrum,label_flip,7,5,0.913520,0.010770
MultiKrum,label_flip,8,5,0.916640,0.010919
MultiKrum,label_flip,9,5,0.922220,0.009224
MultiKrum,label_flip,10,5,0.926200,0.007241
MultiKrum,label_flip,11,5,0.927360,0.007013
MultiKrum,label_flip,12,5,0.928620,0.004222
MultiKrum,label_flip,13,5,0.934040,0.006519
MultiKrum,label_flip,14,5,0.933640,0.006605
MultiKrum,label_flip,15,5,0.935660,0.008343
MultiKrum,label_flip,16,5,0.937560,0.005518
